+-------------+----------+-------------------+---------+--------+-----------------+---------+------------+---------+-------------------+
|TransactionID|CustomerID|               Date|   Amount|Currency|  TransactionType|   Status|Counterparty| Location|          Timestamp|
|      TXN2322|   CUST049|2024-02-26 00:00:00|-49414.44|     INR|       Withdrawal|Completed|        Bank|  Kolkata|2024-02-26 00:00:00|
|      TXN7125|   CUST024|2024-02-21 00:00:00| 16229.25|     INR|          Deposit|Completed|         ATM|  Lucknow|2024-02-21 00:00:00|
|      TXN4154|   CUST012|2024-02-23 00:00:00|-42503.09|     INR|    Transfer Sent|Completed|         ATM|  Kolkata|2024-02-23 00:00:00|
|      TXN6370|   CUST030|2024-02-22 00:00:00|  -707.03|     INR|    Transfer Sent|Completed|         ATM|Hyderabad|2024-02-22 00:00:00|
|      TXN9763|   CUST031|2024-02-03 00:00:00| 22267.99|     INR|          Deposit|Completed|        Bank|     Pune|2024-02-03 00:00:00|
|      TXN2215|   CUST046|2024-02-13 00:00:00|-23533.28|     INR|    Transfer Sent|Completed|        Bank|   Jaipur|2024-02-13 00:00:00|
|      TXN7974|   CUST023|2024-02-18 00:00:00|-33672.75|     INR|       Withdrawal|Completed|         ATM|  Lucknow|2024-02-18 00:00:00|
|      TXN4911|   CUST031|2024-02-11 00:00:00|-11133.52|     INR|       Withdrawal|Completed|     CUST019|    Delhi|2024-02-11 00:00:00|
|      TXN6778|   CUST035|2024-02-05 00:00:00| 36980.68|     INR|          Deposit|Completed|         ATM|   Mumbai|2024-02-05 00:00:00|
|      TXN8575|   CUST036|2024-02-16 00:00:00| 23920.57|     INR|Transfer Received|Completed|        Bank|     Pune|2024-02-16 00:00:00|
|      TXN3870|   CUST039|2024-02-02 00:00:00| 45427.06|     INR|          Deposit|Completed|     CUST038|   Mumbai|2024-02-02 00:00:00|
|      TXN9462|   CUST001|2024-02-03 00:00:00| 10789.69|     INR|Transfer Received|Completed|        Bank|Hyderabad|2024-02-03 00:00:00|
|      TXN2544|   CUST017|2024-02-15 00:00:00|-46800.37|     INR|       Withdrawal|Completed|     CUST004|   Jaipur|2024-02-15 00:00:00|
|      TXN2117|   CUST008|2024-02-11 00:00:00|-27870.88|     INR|       Withdrawal|Completed|        Bank|Bangalore|2024-02-11 00:00:00|
|      TXN2783|   CUST017|2024-02-28 00:00:00|-23946.63|     INR|       Withdrawal|Completed|     CUST019|  Chennai|2024-02-28 00:00:00|
|      TXN3069|   CUST005|2024-02-24 00:00:00| 24420.83|     INR|          Deposit|Completed|     CUST041|  Kolkata|2024-02-24 00:00:00|
|      TXN3188|   CUST020|2024-02-16 00:00:00|  9700.16|     INR|Transfer Received|Completed|         ATM|Bangalore|2024-02-16 00:00:00|
|      TXN1328|   CUST036|2024-02-19 00:00:00|  7674.33|     INR|Transfer Received|Completed|        Bank|    Delhi|2024-02-19 00:00:00|
|      TXN1495|   CUST049|2024-02-13 00:00:00| 23212.88|     INR|Transfer Received|Completed|        Bank|  Chennai|2024-02-13 00:00:00|
|      TXN7139|   CUST036|2024-02-20 00:00:00|-18967.19|     INR|    Transfer Sent|Completed|     CUST032|Hyderabad|2024-02-20 00:00:00|
|      TXN9775|   CUST033|2024-02-25 00:00:00|  1308.47|     INR|          Deposit|Completed|         ATM|Ahmedabad|2024-02-25 00:00:00|
|      TXN4078|   CUST002|2024-02-09 00:00:00|   5292.1|     INR|          Deposit|Completed|         ATM|  Lucknow|2024-02-09 00:00:00|
|      TXN9878|   CUST001|2024-02-23 00:00:00| 31770.78|     INR|          Deposit|Completed|        Bank|  Lucknow|2024-02-23 00:00:00|
|      TXN9042|   CUST010|2024-02-16 00:00:00|-27212.49|     INR|       Withdrawal|Completed|     CUST030|Ahmedabad|2024-02-16 00:00:00|
|      TXN8151|   CUST013|2024-02-17 00:00:00| -4687.53|     INR|       Withdrawal|Completed|         ATM|Bangalore|2024-02-17 00:00:00|
|      TXN8135|   CUST030|2024-02-01 00:00:00| -3570.65|     INR|    Transfer Sent|Completed|         ATM|Bangalore|2024-02-01 00:00:00|
|      TXN5275|   CUST033|2024-02-20 00:00:00| 12926.01|     INR|          Deposit|Completed|        Bank|    Delhi|2024-02-20 00:00:00|
|      TXN1361|   CUST010|2024-02-01 00:00:00| 20814.38|     INR|Transfer Received|Completed|     CUST018|  Chennai|2024-02-01 00:00:00|
|      TXN7803|   CUST002|2024-02-03 00:00:00| 39148.04|     INR|          Deposit|Completed|     CUST011|Hyderabad|2024-02-03 00:00:00|
|      TXN6221|   CUST025|2024-02-23 00:00:00|-24305.49|     INR|       Withdrawal|Completed|        Bank|    Delhi|2024-02-23 00:00:00|
|      TXN9243|   CUST003|2024-02-05 00:00:00| -2237.32|     INR|       Withdrawal|Completed|     CUST017|Hyderabad|2024-02-05 00:00:00|
|      TXN7539|   CUST043|2024-02-25 00:00:00|  5251.51|     INR|Transfer Received|Completed|         ATM|  Kolkata|2024-02-25 00:00:00|
|      TXN7993|   CUST041|2024-02-19 00:00:00|-37486.27|     INR|       Withdrawal|Completed|         ATM|  Kolkata|2024-02-19 00:00:00|
|      TXN1413|   CUST020|2024-02-06 00:00:00|-19557.46|     INR|       Withdrawal|Completed|         ATM|     Pune|2024-02-06 00:00:00|
|      TXN5657|   CUST019|2024-02-28 00:00:00| 30766.34|     INR|Transfer Received|Completed|     CUST043|Ahmedabad|2024-02-28 00:00:00|
|      TXN5749|   CUST003|2024-02-03 00:00:00| 49646.11|     INR|          Deposit|Completed|        Bank|    Delhi|2024-02-03 00:00:00|
|      TXN3536|   CUST031|2024-02-20 00:00:00|-37517.76|     INR|    Transfer Sent|Completed|        Bank|   Jaipur|2024-02-20 00:00:00|
|      TXN8796|   CUST046|2024-02-06 00:00:00| 19568.08|     INR|Transfer Received|Completed|        Bank|Ahmedabad|2024-02-06 00:00:00|
|      TXN2322|   CUST042|2024-02-03 00:00:00|-22560.93|     INR|    Transfer Sent|Completed|        Bank|  Lucknow|2024-02-03 00:00:00|
|      TXN3010|   CUST037|2024-02-20 00:00:00|   769.61|     INR|          Deposit|Completed|        Bank|  Kolkata|2024-02-20 00:00:00|
|      TXN2620|   CUST040|2024-02-19 00:00:00|-38491.61|     INR|       Withdrawal|Completed|        Bank|Bangalore|2024-02-19 00:00:00|
|      TXN8032|   CUST043|2024-02-24 00:00:00|-16434.77|     INR|       Withdrawal|Completed|         ATM|  Kolkata|2024-02-24 00:00:00|
|      TXN5441|   CUST032|2024-02-03 00:00:00|  3004.22|     INR|          Deposit|Completed|     CUST031|Ahmedabad|2024-02-03 00:00:00|
|      TXN8248|   CUST004|2024-02-12 00:00:00|-34872.09|     INR|    Transfer Sent|Completed|        Bank|Bangalore|2024-02-12 00:00:00|
|      TXN6469|   CUST025|2024-02-03 00:00:00|-10430.58|     INR|       Withdrawal|Completed|         ATM|Ahmedabad|2024-02-03 00:00:00|
|      TXN9780|   CUST020|2024-02-26 00:00:00| 35871.59|     INR|          Deposit|Completed|        Bank|   Jaipur|2024-02-26 00:00:00|
|      TXN6670|   CUST044|2024-02-28 00:00:00| -12971.9|     INR|       Withdrawal|Completed|        Bank|   Mumbai|2024-02-28 00:00:00|
|      TXN6147|   CUST043|2024-02-15 00:00:00| -7199.84|     INR|       Withdrawal|Completed|         ATM|Hyderabad|2024-02-15 00:00:00|
|      TXN8991|   CUST048|2024-02-02 00:00:00|-28002.25|     INR|       Withdrawal|Completed|        Bank|  Chennai|2024-02-02 00:00:00|
|      TXN4247|   CUST004|2024-02-02 00:00:00| 45159.61|     INR|          Deposit|Completed|         ATM|  Chennai|2024-02-02 00:00:00|
|      TXN2128|   CUST047|2024-02-15 00:00:00|-35682.84|     INR|       Withdrawal|Completed|         ATM|  Lucknow|2024-02-15 00:00:00|
|      TXN7769|   CUST003|2024-02-27 00:00:00|-27001.22|     INR|    Transfer Sent|Completed|     CUST045|   Jaipur|2024-02-27 00:00:00|
|      TXN7713|   CUST018|2024-02-06 00:00:00|  9577.91|     INR|Transfer Received|Completed|         ATM|   Mumbai|2024-02-06 00:00:00|
|      TXN2813|   CUST005|2024-02-25 00:00:00|-22689.94|     INR|    Transfer Sent|Completed|        Bank|   Mumbai|2024-02-25 00:00:00|
|      TXN7614|   CUST009|2024-02-04 00:00:00| 30088.71|     INR|          Deposit|Completed|     CUST030|  Kolkata|2024-02-04 00:00:00|
|      TXN4292|   CUST018|2024-02-27 00:00:00| -9961.27|     INR|       Withdrawal|Completed|        Bank|    Delhi|2024-02-27 00:00:00|
|      TXN8877|   CUST042|2024-02-26 00:00:00| 14006.05|     INR|Transfer Received|Completed|         ATM|   Jaipur|2024-02-26 00:00:00|
|      TXN2327|   CUST001|2024-02-01 00:00:00|  -684.67|     INR|       Withdrawal|Completed|         ATM|   Jaipur|2024-02-01 00:00:00|
|      TXN8362|   CUST037|2024-02-24 00:00:00| -4557.09|     INR|    Transfer Sent|Completed|     CUST050|     Pune|2024-02-24 00:00:00|
|      TXN7708|   CUST025|2024-02-04 00:00:00| -49452.3|     INR|    Transfer Sent|Completed|        Bank|    Delhi|2024-02-04 00:00:00|
|      TXN4920|   CUST017|2024-02-06 00:00:00| 15597.37|     INR|          Deposit|Completed|        Bank|Bangalore|2024-02-06 00:00:00|
|      TXN5114|   CUST013|2024-02-14 00:00:00| 12982.87|     INR|Transfer Received|Completed|     CUST006|Ahmedabad|2024-02-14 00:00:00|
|      TXN6471|   CUST049|2024-02-10 00:00:00|-45496.95|     INR|       Withdrawal|Completed|         ATM|     Pune|2024-02-10 00:00:00|
|      TXN8710|   CUST013|2024-02-09 00:00:00|-13908.73|     INR|    Transfer Sent|Completed|        Bank|Bangalore|2024-02-09 00:00:00|
|      TXN6576|   CUST030|2024-02-21 00:00:00| -2543.44|     INR|    Transfer Sent|Completed|     CUST008|Ahmedabad|2024-02-21 00:00:00|
|      TXN6251|   CUST014|2024-02-20 00:00:00|-32030.18|     INR|       Withdrawal|Completed|     CUST016|    Delhi|2024-02-20 00:00:00|
|      TXN6380|   CUST023|2024-02-20 00:00:00| 45613.54|     INR|Transfer Received|Completed|     CUST041|   Mumbai|2024-02-20 00:00:00|
|      TXN9535|   CUST013|2024-02-08 00:00:00| -7777.85|     INR|    Transfer Sent|Completed|         ATM|  Lucknow|2024-02-08 00:00:00|
|      TXN4414|   CUST031|2024-02-20 00:00:00|-42106.52|     INR|       Withdrawal|Completed|        Bank|  Kolkata|2024-02-20 00:00:00|
|      TXN5184|   CUST040|2024-02-04 00:00:00|  29908.0|     INR|          Deposit|Completed|         ATM|   Mumbai|2024-02-04 00:00:00|
|      TXN2473|   CUST045|2024-02-09 00:00:00|-41569.13|     INR|       Withdrawal|Completed|     CUST037|Bangalore|2024-02-09 00:00:00|
|      TXN1219|   CUST021|2024-02-27 00:00:00|-31713.78|     INR|       Withdrawal|Completed|        Bank|     Pune|2024-02-27 00:00:00|
|      TXN4891|   CUST004|2024-02-21 00:00:00|-32601.04|     INR|    Transfer Sent|Completed|     CUST037|Bangalore|2024-02-21 00:00:00|
|      TXN2118|   CUST033|2024-02-09 00:00:00| 36343.95|     INR|          Deposit|Completed|     CUST028|Hyderabad|2024-02-09 00:00:00|
|      TXN8558|   CUST043|2024-02-25 00:00:00| 41456.07|     INR|Transfer Received|Completed|     CUST005|    Delhi|2024-02-25 00:00:00|
|      TXN6380|   CUST035|2024-02-27 00:00:00|-44871.08|     INR|    Transfer Sent|Completed|         ATM|Ahmedabad|2024-02-27 00:00:00|
|      TXN7062|   CUST033|2024-02-13 00:00:00| -7126.63|     INR|    Transfer Sent|Completed|        Bank|  Chennai|2024-02-13 00:00:00|
|      TXN3936|   CUST036|2024-02-01 00:00:00|  6348.58|     INR|          Deposit|Completed|        Bank|Ahmedabad|2024-02-01 00:00:00|
|      TXN4119|   CUST003|2024-02-08 00:00:00|-16970.41|     INR|       Withdrawal|Completed|        Bank|Ahmedabad|2024-02-08 00:00:00|
|      TXN7805|   CUST025|2024-02-24 00:00:00|-27907.45|     INR|    Transfer Sent|Completed|     CUST004|Ahmedabad|2024-02-24 00:00:00|
|      TXN4318|   CUST048|2024-02-03 00:00:00|  5930.42|     INR|          Deposit|Completed|        Bank|  Chennai|2024-02-03 00:00:00|
|      TXN9378|   CUST017|2024-02-22 00:00:00| 48290.51|     INR|          Deposit|Completed|         ATM|Ahmedabad|2024-02-22 00:00:00|
|      TXN8740|   CUST025|2024-02-14 00:00:00| -5155.49|     INR|    Transfer Sent|Completed|         ATM|   Jaipur|2024-02-14 00:00:00|
|      TXN4525|   CUST038|2024-02-25 00:00:00| 39166.62|     INR|Transfer Received|Completed|        Bank|  Lucknow|2024-02-25 00:00:00|
|      TXN2597|   CUST021|2024-02-01 00:00:00| 14389.75|     INR|Transfer Received|Completed|         ATM|Bangalore|2024-02-01 00:00:00|
|      TXN2026|   CUST049|2024-02-20 00:00:00|-47371.48|     INR|    Transfer Sent|Completed|         ATM|Hyderabad|2024-02-20 00:00:00|
|      TXN9289|   CUST005|2024-02-24 00:00:00|  8543.24|     INR|          Deposit|Completed|         ATM|   Jaipur|2024-02-24 00:00:00|
|      TXN1063|   CUST023|2024-02-05 00:00:00|-16894.13|     INR|    Transfer Sent|Completed|     CUST044|   Mumbai|2024-02-05 00:00:00|
|      TXN6513|   CUST015|2024-02-04 00:00:00| 22576.17|     INR|Transfer Received|Completed|     CUST037|     Pune|2024-02-04 00:00:00|
|      TXN9477|   CUST004|2024-02-05 00:00:00| 16902.83|     INR|Transfer Received|Completed|        Bank|     Pune|2024-02-05 00:00:00|
|      TXN3495|   CUST015|2024-02-25 00:00:00| -3578.16|     INR|       Withdrawal|Completed|        Bank|    Delhi|2024-02-25 00:00:00|
|      TXN5836|   CUST049|2024-02-10 00:00:00|-46936.85|     INR|       Withdrawal|Completed|     CUST018|Hyderabad|2024-02-10 00:00:00|
|      TXN7905|   CUST048|2024-02-05 00:00:00| -9558.76|     INR|    Transfer Sent|Completed|     CUST003|    Delhi|2024-02-05 00:00:00|
|      TXN9709|   CUST046|2024-02-27 00:00:00| 47588.51|     INR|Transfer Received|Completed|         ATM|  Kolkata|2024-02-27 00:00:00|
|      TXN1295|   CUST007|2024-02-01 00:00:00| 22400.32|     INR|Transfer Received|Completed|         ATM|Ahmedabad|2024-02-01 00:00:00|
|      TXN4222|   CUST040|2024-02-20 00:00:00| 19463.26|     INR|Transfer Received|Completed|        Bank|   Jaipur|2024-02-20 00:00:00|
|      TXN1414|   CUST014|2024-02-04 00:00:00|  5694.11|     INR|          Deposit|Completed|        Bank|  Lucknow|2024-02-04 00:00:00|
|      TXN6758|   CUST042|2024-02-03 00:00:00| -18734.9|     INR|       Withdrawal|Completed|         ATM|  Kolkata|2024-02-03 00:00:00|
|      TXN7471|   CUST022|2024-02-26 00:00:00|-17538.25|     INR|       Withdrawal|Completed|         ATM|  Kolkata|2024-02-26 00:00:00|
|      TXN8046|   CUST043|2024-02-12 00:00:00| -4067.53|     INR|       Withdrawal|Completed|        Bank|  Chennai|2024-02-12 00:00:00|
|      TXN7722|   CUST031|2024-02-06 00:00:00|  4359.59|     INR|          Deposit|Completed|         ATM|    Delhi|2024-02-06 00:00:00|
|      TXN6998|   CUST004|2024-02-06 00:00:00|  -393.67|     INR|       Withdrawal|Completed|         ATM|  Lucknow|2024-02-06 00:00:00|
|      TXN5220|   CUST035|2024-02-05 00:00:00| 45336.64|     INR|          Deposit|Completed|        Bank|Hyderabad|2024-02-05 00:00:00|
|      TXN4122|   CUST033|2024-02-06 00:00:00| 34436.68|     INR|Transfer Received|Completed|     CUST035|     Pune|2024-02-06 00:00:00|
|      TXN9232|   CUST021|2024-02-14 00:00:00| 43432.06|     INR|          Deposit|Completed|        Bank|  Lucknow|2024-02-14 00:00:00|
|      TXN1127|   CUST015|2024-02-17 00:00:00|-24649.34|     INR|       Withdrawal|Completed|     CUST022|  Kolkata|2024-02-17 00:00:00|
|      TXN3046|   CUST011|2024-02-07 00:00:00|-44514.79|     INR|       Withdrawal|Completed|     CUST027|     Pune|2024-02-07 00:00:00|
|      TXN7477|   CUST011|2024-02-05 00:00:00|  35130.7|     INR|Transfer Received|Completed|     CUST031|    Delhi|2024-02-05 00:00:00|
|      TXN9360|   CUST008|2024-02-18 00:00:00| 19497.78|     INR|          Deposit|Completed|        Bank|  Chennai|2024-02-18 00:00:00|
|      TXN6030|   CUST041|2024-02-14 00:00:00| 39441.66|     INR|          Deposit|Completed|     CUST018|   Mumbai|2024-02-14 00:00:00|
|      TXN9125|   CUST013|2024-02-10 00:00:00| 43989.91|     INR|Transfer Received|Completed|        Bank|Ahmedabad|2024-02-10 00:00:00|
|      TXN1725|   CUST049|2024-02-22 00:00:00| 45470.18|     INR|Transfer Received|Completed|        Bank|  Kolkata|2024-02-22 00:00:00|
|      TXN1297|   CUST039|2024-02-22 00:00:00| -17140.6|     INR|    Transfer Sent|Completed|         ATM|  Chennai|2024-02-22 00:00:00|
|      TXN4245|   CUST004|2024-02-12 00:00:00|-49644.87|     INR|       Withdrawal|Completed|        Bank|  Chennai|2024-02-12 00:00:00|
|      TXN6104|   CUST025|2024-02-04 00:00:00|-49464.25|     INR|       Withdrawal|Completed|         ATM|  Chennai|2024-02-04 00:00:00|
|      TXN9552|   CUST046|2024-02-13 00:00:00|-28001.25|     INR|       Withdrawal|Completed|     CUST040|   Mumbai|2024-02-13 00:00:00|
|      TXN3669|   CUST016|2024-02-08 00:00:00|-29328.04|     INR|       Withdrawal|Completed|        Bank|    Delhi|2024-02-08 00:00:00|
|      TXN8166|   CUST041|2024-02-24 00:00:00|  9240.19|     INR|Transfer Received|Completed|     CUST026|  Lucknow|2024-02-24 00:00:00|
|      TXN2896|   CUST033|2024-02-24 00:00:00| 31066.52|     INR|          Deposit|Completed|     CUST019|  Chennai|2024-02-24 00:00:00|
|      TXN1658|   CUST018|2024-02-19 00:00:00|  1392.29|     INR|          Deposit|Completed|        Bank|Bangalore|2024-02-19 00:00:00|
|      TXN5410|   CUST009|2024-02-07 00:00:00| 10288.76|     INR|Transfer Received|Completed|     CUST030|Hyderabad|2024-02-07 00:00:00|
|      TXN4367|   CUST049|2024-02-03 00:00:00|  37866.0|     INR|Transfer Received|Completed|         ATM|   Mumbai|2024-02-03 00:00:00|
|      TXN5101|   CUST032|2024-02-16 00:00:00|-45873.22|     INR|    Transfer Sent|Completed|     CUST018|  Chennai|2024-02-16 00:00:00|
|      TXN7434|   CUST009|2024-02-04 00:00:00| 20936.35|     INR|Transfer Received|Completed|        Bank|     Pune|2024-02-04 00:00:00|
|      TXN9400|   CUST009|2024-02-06 00:00:00|-16654.62|     INR|       Withdrawal|Completed|        Bank|Ahmedabad|2024-02-06 00:00:00|
|      TXN9822|   CUST037|2024-02-12 00:00:00| 45977.65|     INR|          Deposit|Completed|        Bank|  Kolkata|2024-02-12 00:00:00|
|      TXN2493|   CUST028|2024-02-17 00:00:00|  1325.24|     INR|Transfer Received|Completed|     CUST024|Hyderabad|2024-02-17 00:00:00|
|      TXN6935|   CUST022|2024-02-28 00:00:00| 21574.05|     INR|Transfer Received|Completed|         ATM|Ahmedabad|2024-02-28 00:00:00|
|      TXN8565|   CUST021|2024-02-11 00:00:00|-40516.83|     INR|       Withdrawal|Completed|         ATM|    Delhi|2024-02-11 00:00:00|
|      TXN1013|   CUST050|2024-02-12 00:00:00| 21863.98|     INR|Transfer Received|Completed|         ATM|Bangalore|2024-02-12 00:00:00|
|      TXN2063|   CUST048|2024-02-05 00:00:00| 16632.76|     INR|          Deposit|Completed|        Bank|   Mumbai|2024-02-05 00:00:00|
|      TXN7241|   CUST016|2024-02-23 00:00:00|-40479.67|     INR|    Transfer Sent|Completed|         ATM|Hyderabad|2024-02-23 00:00:00|
|      TXN4426|   CUST021|2024-02-24 00:00:00| 27912.28|     INR|Transfer Received|Completed|        Bank|  Kolkata|2024-02-24 00:00:00|
|      TXN2439|   CUST004|2024-02-09 00:00:00|-17201.29|     INR|       Withdrawal|Completed|     CUST045|   Jaipur|2024-02-09 00:00:00|
|      TXN6290|   CUST040|2024-02-20 00:00:00|-36657.23|     INR|    Transfer Sent|Completed|        Bank|  Kolkata|2024-02-20 00:00:00|
|      TXN6007|   CUST018|2024-02-06 00:00:00| -47847.9|     INR|       Withdrawal|Completed|        Bank|Bangalore|2024-02-06 00:00:00|
|      TXN3513|   CUST036|2024-02-08 00:00:00| 15824.06|     INR|Transfer Received|Completed|         ATM|   Mumbai|2024-02-08 00:00:00|
|      TXN9242|   CUST011|2024-02-28 00:00:00| 18005.96|     INR|          Deposit|Completed|        Bank|Ahmedabad|2024-02-28 00:00:00|
|      TXN4957|   CUST006|2024-02-25 00:00:00| 28999.94|     INR|Transfer Received|Completed|        Bank|   Jaipur|2024-02-25 00:00:00|
|      TXN6429|   CUST016|2024-02-18 00:00:00|  7972.25|     INR|Transfer Received|Completed|        Bank|    Delhi|2024-02-18 00:00:00|
|      TXN9711|   CUST048|2024-02-12 00:00:00|-11330.43|     INR|       Withdrawal|Completed|        Bank|Hyderabad|2024-02-12 00:00:00|
|      TXN8112|   CUST037|2024-02-20 00:00:00|  28937.5|     INR|          Deposit|Completed|     CUST002|Bangalore|2024-02-20 00:00:00|
|      TXN6829|   CUST036|2024-02-26 00:00:00|   8451.2|     INR|Transfer Received|Completed|         ATM|Bangalore|2024-02-26 00:00:00|
|      TXN3305|   CUST048|2024-02-05 00:00:00|  36192.3|     INR|Transfer Received|Completed|         ATM|Bangalore|2024-02-05 00:00:00|
|      TXN9274|   CUST035|2024-02-02 00:00:00| -4735.87|     INR|       Withdrawal|Completed|     CUST015|Hyderabad|2024-02-02 00:00:00|
|      TXN3192|   CUST004|2024-02-04 00:00:00|  -370.57|     INR|    Transfer Sent|Completed|     CUST014|    Delhi|2024-02-04 00:00:00|
|      TXN9020|   CUST046|2024-02-24 00:00:00|-14199.24|     INR|    Transfer Sent|Completed|     CUST019|   Mumbai|2024-02-24 00:00:00|
|      TXN8203|   CUST017|2024-02-28 00:00:00|-33778.37|     INR|       Withdrawal|Completed|     CUST001|  Chennai|2024-02-28 00:00:00|
|      TXN9805|   CUST016|2024-02-04 00:00:00| -6824.96|     INR|    Transfer Sent|Completed|         ATM|  Lucknow|2024-02-04 00:00:00|
|      TXN1545|   CUST047|2024-02-10 00:00:00|-21713.42|     INR|    Transfer Sent|Completed|         ATM|    Delhi|2024-02-10 00:00:00|
|      TXN2114|   CUST017|2024-02-21 00:00:00| -6045.31|     INR|       Withdrawal|Completed|     CUST031|   Jaipur|2024-02-21 00:00:00|
|      TXN9418|   CUST015|2024-02-15 00:00:00|-29782.04|     INR|    Transfer Sent|Completed|        Bank|   Jaipur|2024-02-15 00:00:00|
|      TXN5302|   CUST007|2024-02-22 00:00:00|-46613.47|     INR|       Withdrawal|Completed|     CUST022|  Chennai|2024-02-22 00:00:00|
|      TXN9854|   CUST033|2024-02-14 00:00:00|-19343.58|     INR|    Transfer Sent|Completed|        Bank|  Lucknow|2024-02-14 00:00:00|
|      TXN8296|   CUST037|2024-02-10 00:00:00|-31818.04|     INR|    Transfer Sent|Completed|        Bank|Hyderabad|2024-02-10 00:00:00|
|      TXN1808|   CUST010|2024-02-18 00:00:00|  4058.28|     INR|Transfer Received|Completed|        Bank|  Kolkata|2024-02-18 00:00:00|
|      TXN3451|   CUST040|2024-02-07 00:00:00| 34517.89|     INR|          Deposit|Completed|     CUST001|   Mumbai|2024-02-07 00:00:00|
|      TXN5618|   CUST014|2024-02-17 00:00:00| 36981.19|     INR|          Deposit|Completed|         ATM|     Pune|2024-02-17 00:00:00|
|      TXN8387|   CUST033|2024-02-05 00:00:00|-17210.43|     INR|    Transfer Sent|Completed|         ATM|  Lucknow|2024-02-05 00:00:00|
|      TXN2822|   CUST031|2024-02-25 00:00:00| 27323.79|     INR|Transfer Received|Completed|     CUST021|   Mumbai|2024-02-25 00:00:00|
|      TXN6395|   CUST020|2024-02-02 00:00:00| 45180.62|     INR|          Deposit|Completed|         ATM|  Lucknow|2024-02-02 00:00:00|
|      TXN3970|   CUST008|2024-02-21 00:00:00| 45997.99|     INR|Transfer Received|Completed|     CUST033|   Mumbai|2024-02-21 00:00:00|
|      TXN9449|   CUST010|2024-02-06 00:00:00| 38626.09|     INR|          Deposit|Completed|         ATM|  Kolkata|2024-02-06 00:00:00|
|      TXN2444|   CUST013|2024-02-07 00:00:00|-32924.92|     INR|    Transfer Sent|Completed|         ATM|  Lucknow|2024-02-07 00:00:00|
|      TXN4549|   CUST036|2024-02-06 00:00:00|-48549.76|     INR|       Withdrawal|Completed|         ATM|   Jaipur|2024-02-06 00:00:00|
|      TXN3542|   CUST035|2024-02-24 00:00:00| 16817.26|     INR|Transfer Received|Completed|        Bank|     Pune|2024-02-24 00:00:00|
|      TXN5222|   CUST045|2024-02-10 00:00:00|  20422.2|     INR|Transfer Received|Completed|         ATM|     Pune|2024-02-10 00:00:00|
|      TXN7153|   CUST035|2024-02-16 00:00:00| -16099.1|     INR|    Transfer Sent|Completed|         ATM|  Chennai|2024-02-16 00:00:00|
|      TXN6407|   CUST009|2024-02-13 00:00:00| 37604.77|     INR|          Deposit|Completed|         ATM|Ahmedabad|2024-02-13 00:00:00|
|      TXN1416|   CUST047|2024-02-25 00:00:00|  20797.5|     INR|Transfer Received|Completed|         ATM|   Mumbai|2024-02-25 00:00:00|
|      TXN3754|   CUST045|2024-02-01 00:00:00| 43817.02|     INR|Transfer Received|Completed|         ATM|  Lucknow|2024-02-01 00:00:00|
|      TXN2378|   CUST043|2024-02-07 00:00:00| -4999.78|     INR|       Withdrawal|Completed|     CUST030|Bangalore|2024-02-07 00:00:00|
|      TXN6075|   CUST018|2024-02-23 00:00:00| 31975.85|     INR|          Deposit|Completed|     CUST015|Bangalore|2024-02-23 00:00:00|
|      TXN5633|   CUST041|2024-02-24 00:00:00|-23998.04|     INR|    Transfer Sent|Completed|         ATM|  Kolkata|2024-02-24 00:00:00|
